id_number,channel,group_name,prov,city,comp_rate,quiz
cxnkpatel1,Dealer-retail,DEALON01,Ontario,,0.75,83.33
cxnmdave,Dealer-retail,DEALON01,Ontario,,0.786,94.26
cxnmshah,Dealer-retail,DEALON01,Ontario,,0.813,71.68
cxnndhiman,Dealer-retail,DEALON01,Ontario,,0.846,96.94
cxnnpatel,Dealer-retail,DEALON01,Ontario,,0.917,98.03
cxnpkaneriya,Dealer-retail,DEALON01,Ontario,,1,95.28
cxnppatel,Dealer-retail,DEALON01,Ontario,,1,95.39
cxnpsheth,Dealer-retail,DEALON01,Ontario,,0.357,76.5
cxnrkaitola,Dealer-retail,DEALON01,Ontario,,0.833,96.67
cxnrparikh,Dealer-retail,DEALON01,Ontario,,0.8,97
cxnrshah,Dealer-retail,DEALON01,Ontario,,0.833,77.82
cxnsmajumdar,Dealer-retail,DEALON01,Ontario,,0.941,96.52
cxnsnaazpreet,Dealer-retail,DEALON01,Ontario,,0.909,99.61
cxnsnasim,Dealer-retail,DEALON01,Ontario,,0.957,98.61
cxnssingh,Dealer-retail,DEALON01,Ontario,,0.833,75.11
cxnsverma,Dealer-retail,DEALON01,Ontario,,0.957,98.43
cxnvkhambholja,Dealer-retail,DEALON01,Ontario,,1,100
cxnvrusson,Dealer-retail,DEALON01,Ontario,,0.857,86
cxnvshrotriya,Dealer-retail,DEALON01,Ontario,,0.636,86.8
czeldin,Corp-retail,CORPON03-ON Central,Ontario,Thornhill,0.896,92.01
dabdikarim,Care,Windsor,,,0.897,92.05
dahmed,Corp-retail,CORPON03-ON Central,Ontario,North York,0.923,98.33
damanouail,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.917,99.32
daspacio,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.8,92
datienza,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.818,92.32
dbeck,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.778,87.78
dbellefeuille,Care,Windsor,,,0.923,90.51
dbonsu2,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,1,
dboulter,Care,Windsor,,,0.941,91.62
dbrklacic,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.8,94.04
dcarcello,Corp-retail,CORPON03-ON Central,Ontario,North York,0.951,89.84
dchabot,Care,Windsor,,,1,99.44
dchaulk,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,1,90.44
dcresswell,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.946,83.94
ddccsangha,Dealer-retail,DEALVA01,BC,,0.5,96.25
ddcjgrewal,Dealer-retail,DEALVA01,BC,,0.75,72.5
ddcjsingh,Dealer-retail,DEALVA01,BC,,0.4,88.33
ddcssandhu,Dealer-retail,DEALVA01,BC,,0.333,93.33
ddupuis,Care,Windsor,,,0.926,99.14
dfarrar,Corp-retail,CORPON03-ON Central,Ontario,North York,0.974,89.51
dgalipeau,Care,Windsor,,,1,91.11
dgupta,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.813,93.78
dhowell,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.933,96.19
djohal,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.927,83.02
djones,Corp-retail,CORPON05-ON Southwest,Ontario,Brantford,0.917,94.53
djoseph,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.769,91.41
dkagan,Corp-retail,CORPON03-ON Central,Ontario,Thornhill,0.833,95.38
dkarhani,Care,Windsor,,,0.944,88.58
dlacourse,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.902,97.71
dle,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.955,98.89
dlee2,Care,Windsor,,,0.96,94.68
dlewis,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.917,87.35
dlewis2,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.889,83.33
dlim,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.909,95.64
dluc,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.923,90.99
dluk,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.921,89.67
dluong,Corp-retail,CORPON03-ON Central,Ontario,Vaughan,0.714,97.29
dmoghadasianrad,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.833,97.5
dmoody,Care,Windsor,,,0.941,93.16
dmulligan,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0.917,95.06
DMulumba,Care,Windsor,,,0.727,69.07
dnguyen2,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.842,92.73
dnickolson,Care,Windsor,,,0.95,90.43
dnorman,Corp-retail,CORPON05-ON Southwest,Ontario,Waterloo,0.964,92.59
dnowak,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.938,94.08
doriet,Care,Windsor,,,1,93.33
dparent,Care,Windsor,,,0.833,75.97
dpaterson,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.833,100
dpennerman,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0.98,91.68
dsaddik,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.9,94.85
dschwartz,Corp-retail,CORPON03-ON Central,Ontario,Barrie,0.867,97.74
dsimion,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.962,96.9
dsivanandarajah,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.931,88.89
dsohi,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.923,96.49
dst.bernard,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.833,95.83
dstapleton,Care,Windsor,,,0.857,86.36
dta,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.923,94.84
dtestman,Corp-retail,CORPON02-ON East,Ontario,Toronto,1,
dthomas2,Corp-retail,CORPON04-ON Southeast,Ontario,Oakville,0.944,94.79
dtran3,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.875,95.16
dvo,Care,Windsor,,,1,95.06
dwade,Corp-retail,CORPON02-ON East,Ontario,Oshawa,0.929,95.76
dwong,Corp-retail,CORPON03-ON Central,Ontario,Vaughan,0.867,94.89
eahmad,Care,Windsor,,,0.846,87.33
ealkadri,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.92,97.12
edarge,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.956,86.99
eheideman,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.967,95.16
ejewell,Care,Windsor,,,0.964,96.45
EJoseph,Care,Windsor,,,0.846,72.68
ekiumarsi,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.846,92.3
ekrzaniak,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.905,87.56
elaporte,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,1,98.57
eleveille,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.75,87.23
emarum,Corp-retail,CORPON03-ON Central,Ontario,North York,0.947,96.75
emckey,Corp-retail,CORPON04-ON Southeast,Ontario,Oakville,0.5,93.33
emikhael,Care,Windsor,,,0.895,87.95
emurphy,Care,Windsor,,,0.75,87.12
eodonnell,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0.971,88.71
epacificador,Corp-retail,CORPON03-ON Central,Ontario,Markham,0.923,97.69
eqiu,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.8,99.6
eraaahmed,Dealer-retail,DEALON06,Ontario,,0.815,91.59
eraazahoor,Dealer-retail,DEALON06,Ontario,,0.935,87.53
erabcrosby,Dealer-retail,DEALON06,Ontario,,1,88.89
eraccartwright,Dealer-retail,DEALON06,Ontario,,0.865,79.76
erafmohammed,Dealer-retail,DEALON06,Ontario,,0.933,91.63
erakfernandes,Dealer-retail,DEALON06,Ontario,,0.968,93.47
erakgriffiths,Dealer-retail,DEALON06,Ontario,,0.927,82.35
eralgriffith,Dealer-retail,DEALON06,Ontario,,0.958,89.41
eramhafeez,Dealer-retail,DEALON06,Ontario,,0.839,85.45
eramkumar,Dealer-retail,DEALON06,Ontario,,0.909,90.71
eramshah,Dealer-retail,DEALON06,Ontario,,0.714,81.42
eraomohammed,Dealer-retail,DEALON06,Ontario,,0.943,92.05
erarsrivastava,Dealer-retail,DEALON06,Ontario,,0.467,68.48
eraskhan,Dealer-retail,DEALON06,Ontario,,0.936,94.01
erasotten,Dealer-retail,DEALON06,Ontario,,0.867,84.56
erasshubham,Dealer-retail,DEALON06,Ontario,,0.951,92.03
erazcattell,Dealer-retail,DEALON06,Ontario,,0.863,80.42
erenaud,Care,Windsor,,,1,92.78
eruskin,Care,Windsor,,,0.92,89.06
escheer,Care,Windsor,,,1,96.19
eschwartz,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.871,91.7
esorto,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.917,95.08
ewhiting,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.929,74.45
eyao,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.971,93.85
fdonoso,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.871,86.26
ffarhat,Care,Windsor,,,0.909,86.07
ffei,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.872,71.66
fjaoui,Care,Windsor,,,0.889,88.9
fkhamis,Care,Windsor,,,0.833,87.24
fkhan2,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.889,96.11
fkhatib,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,1,96.76
fmohamud,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.932,86.59
fpereira,Corp-retail,CORPON03-ON Central,Ontario,Woodbridge,0.5,81.67
fshahid,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.917,92.05
fsuen,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.917,87.84
gbhanwar,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.882,86.43
gcalee,Dealer-retail,DEALON01,Ontario,,0.893,91.38
gccchen,Dealer-retail,DEALON01,Ontario,,0.75,88.66
gcdyu,Dealer-retail,DEALON01,Ontario,,1,
gcfhe,Dealer-retail,DEALON01,Ontario,,0.933,90.74
gcjchen,Dealer-retail,DEALON01,Ontario,,1,93.33
gcjfeng,Dealer-retail,DEALON01,Ontario,,0.857,74
gcjlau,Dealer-retail,DEALON01,Ontario,,0.887,78.2
gcjlu,Dealer-retail,DEALON01,Ontario,,0.692,89.55
gckchow1,Dealer-retail,DEALON01,Ontario,,0.8,92.88
gckhuang,Dealer-retail,DEALON01,Ontario,,0.846,82.82
gcltiwana,Dealer-retail,DEALON01,Ontario,,0.811,69.82
gclwen,Dealer-retail,DEALON01,Ontario,,0,73.3
gcmlu,Dealer-retail,DEALON01,Ontario,,0.875,91.48
gcocui,Dealer-retail,DEALON01,Ontario,,0.857,91.14
gcross,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.813,88.38
gcrzhang,Dealer-retail,DEALON01,Ontario,,0.786,89.7
gcskwan,Dealer-retail,DEALON01,Ontario,,0.867,92
gcsli,Dealer-retail,DEALON01,Ontario,,0.909,82.72
gcsliang,Dealer-retail,DEALON01,Ontario,,0.875,93.33
gcssingh,Dealer-retail,DEALON01,Ontario,,1,
gcttian,Dealer-retail,DEALON01,Ontario,,0.727,80.14
gcvmak,Dealer-retail,DEALON01,Ontario,,0.813,93.33
gcvxin,Dealer-retail,DEALON01,Ontario,,0.875,92.5
gdelrosario,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.957,84.03
gesposito,Care,Windsor,,,0.8,98.34
ggill,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.949,91.3
ggunaratnam,Care,Windsor,,,1,98.46
gkandasamy,Care,Windsor,,,0.882,86.66
gmishrigi,Corp-retail,CORPON03-ON Central,Ontario,Richmond Hill,0.818,93.15
gmulumba,Care,Windsor,,,0.933,89.26
gpark,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.75,82
grathakrishnan,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.833,89.34
grtading,Dealer-retail,DEALON05,Ontario,,0.951,97.11
grtbliu,Dealer-retail,DEALON05,Ontario,,0.867,100
grtbliu1,Dealer-retail,DEALON05,Ontario,,0.905,86.18
grtbzhou,Dealer-retail,DEALON05,Ontario,,0.958,95.37
grtdrao,Dealer-retail,DEALON05,Ontario,,0.894,87.18
grtdwang,Dealer-retail,DEALON05,Ontario,,1,100
grtelee,Dealer-retail,DEALON05,Ontario,,0.952,90.9
grtewang,Dealer-retail,DEALON05,Ontario,,0.855,89.87
grtfmeng,Dealer-retail,DEALON05,Ontario,,0.911,84.86
grtfyang1,Dealer-retail,DEALON05,Ontario,,0.944,95.54
grtgarora,Dealer-retail,DEALON05,Ontario,,0.789,79.59
grtjau,Dealer-retail,DEALON05,Ontario,,0.986,93.85
grtjjiang,Dealer-retail,DEALON05,Ontario,,0.895,88.89
grtjli1,Dealer-retail,DEALON05,Ontario,,0.922,92.82
grtjsun,Dealer-retail,DEALON05,Ontario,,0.892,87.33
grtjwang,Dealer-retail,DEALON05,Ontario,,0.964,90.99
grtjyuan,Dealer-retail,DEALON05,Ontario,,0.923,88.59
grtjzabaneh,Dealer-retail,DEALON05,Ontario,,0.945,87.12
grtkshen,Dealer-retail,DEALON05,Ontario,,0.831,75
grtlchen,Dealer-retail,DEALON05,Ontario,,0.976,93.1
grtltang,Dealer-retail,DEALON05,Ontario,,0.947,94.15
grtlyan,Dealer-retail,DEALON05,Ontario,,0.934,94.95
grtmjiang,Dealer-retail,DEALON05,Ontario,,0.905,90.72
grtmsun,Dealer-retail,DEALON05,Ontario,,0.937,89
grtmxue,Dealer-retail,DEALON05,Ontario,,0.986,94.13
grtmzhang,Dealer-retail,DEALON05,Ontario,,0.914,90.86
grtqluo,Dealer-retail,DEALON05,Ontario,,0.898,89.86
grtrshu,Dealer-retail,DEALON05,Ontario,,0.913,89.64
grtryang,Dealer-retail,DEALON05,Ontario,,0.976,97.08
grtrzhang,Dealer-retail,DEALON05,Ontario,,0.936,86.25
grtshabib,Dealer-retail,DEALON05,Ontario,,0.846,94.7
grtssuresh,Dealer-retail,DEALON05,Ontario,,0.94,73.52
grtsughratdar,Dealer-retail,DEALON05,Ontario,,0.953,92.17
grtxwang,Dealer-retail,DEALON05,Ontario,,0.88,95.15
gsassano,Care,Windsor,,,0.952,93.33
gsingh,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.813,88.49
gsingh2,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.938,92.67
gsioufi,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.929,89.75
gsmasinha,Dealer-retail,DEALON05,Ontario,,0.94,87.44
gsmekhalil,Dealer-retail,DEALON05,Ontario,,0.96,91.46
gsmfazeem,Dealer-retail,DEALON05,Ontario,,1,
gsmfazeem1,Dealer-retail,DEALON05,Ontario,,0.852,79.49
gsmmkaushik,Dealer-retail,DEALON05,Ontario,,0.896,95.04
gsmnkrishna,Dealer-retail,DEALON05,Ontario,,0.896,75.22
gsmrmufti,Dealer-retail,DEALON05,Ontario,,0.836,86.47
gsmskumar,Dealer-retail,DEALON05,Ontario,,0.956,93.55
gsmssaiyed,Dealer-retail,DEALON05,Ontario,,0.908,81.61
gsmssharma,Dealer-retail,DEALON05,Ontario,,0.962,87.17
gting,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.9,94.85
gwan,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,1,93.85
gweightman,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.88,98.13
hafridi,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.966,85.07
hahmadi,Care,Windsor,,,0.938,87.33
haklilu,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.786,84.73
hal-azary,Care,Windsor,,,1,96.92
hali,Care,Windsor,,,0.923,94.29
haoun,Care,Windsor,,,1,99.6
hataoui,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.93,95.42
hbajaj,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.857,83.19
hberry,Care,Windsor,,,1,100
hbhogal,Corp-retail,CORPON03-ON Central,Ontario,North York,0.909,98.33
hchaudhry,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.875,94.57
hchawich,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.939,84.19
hchohan,Corp-retail,CORPON03-ON Central,Ontario,North York,0.966,96.15
hdhillon2,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.821,90.22
hdiaz,Care,Windsor,,,1,
heftekhar,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.867,91.67
hgandhi,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.857,96.54
hgilmore,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.917,98.33
hglolani,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0,100
hgoldring,Corp-retail,CORPON05-ON Southwest,Ontario,Burlington,0.5,80
hhaidar,Care,Windsor,,,1,98.24
himtiaz,Corp-retail,CORPON03-ON Central,Ontario,Newmarket,0.556,77.77
hishfaq,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.6,92
hjafri,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.91,90.43
hjoshi,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0,100
hkotiach,Care,Windsor,,,1,84.34
hmachahal,Dealer-retail,DEALON02,Ontario,,0.833,80.35
hmadolhutska,Dealer-retail,DEALON02,Ontario,,0.897,83.25
hmagumber,Dealer-retail,DEALON02,Ontario,,0.786,84.66
hmajama,Dealer-retail,DEALON02,Ontario,,0.889,93.33
hmaking,Dealer-retail,DEALON02,Ontario,,1,100
hmasameh,Dealer-retail,DEALON02,Ontario,,0.72,76.37
hmatorok,Dealer-retail,DEALON02,Ontario,,1,94.62
hmbkashish,Dealer-retail,DEALON02,Ontario,,0.952,95.96
hmbkim,Dealer-retail,DEALON02,Ontario,,0.978,91.67
hmbrhkor,Dealer-retail,DEALON02,Ontario,,0.947,96.66
hmcshivam,Dealer-retail,DEALON02,Ontario,,0.714,79.85
hmcsong,Dealer-retail,DEALON02,Ontario,,0.778,94.33
hmdboydchung,Dealer-retail,DEALON02,Ontario,,0.929,90
hmdghosh,Dealer-retail,DEALON02,Ontario,,0.921,79.48
hmdhuang,Dealer-retail,DEALON02,Ontario,,1,90
hmdmeshwania,Dealer-retail,DEALON02,Ontario,,0.939,88.45
hmdpatel,Dealer-retail,DEALON02,Ontario,,1,80
hmealfred,Dealer-retail,DEALON02,Ontario,,0.833,88.77
hmgdeonarine,Dealer-retail,DEALON02,Ontario,,1,96.67
hmgreza,Dealer-retail,DEALON02,Ontario,,0.909,96.73
hmhkumar,Dealer-retail,DEALON02,Ontario,,0.873,87.66
hmihri,Corp-retail,CORPON03-ON Central,Ontario,Richmond Hill,0.975,95.06
hmjkim,Dealer-retail,DEALON02,Ontario,,0.923,98.18
hmjmangat,Dealer-retail,DEALON02,Ontario,,0.95,79.27
hmjsingh1,Dealer-retail,DEALON02,Ontario,,0.917,90.55
hmjsinghvirk,Dealer-retail,DEALON02,Ontario,,0.955,99.56
hmkaydi,Dealer-retail,DEALON02,Ontario,,0.902,90.5
hmkcao,Dealer-retail,DEALON02,Ontario,,0.857,91.79
hmkshah,Dealer-retail,DEALON02,Ontario,,0.75,90.09
hmmagarwal,Dealer-retail,DEALON02,Ontario,,0.98,88.21
hmmgebisa,Dealer-retail,DEALON02,Ontario,,0.882,91.94
hmmhosseini,Dealer-retail,DEALON02,Ontario,,0.967,86.19
hmmkaur,Dealer-retail,DEALON02,Ontario,,1,100
hmmmendes,Dealer-retail,DEALON02,Ontario,,0.879,85.42
hmmwai,Dealer-retail,DEALON02,Ontario,,1,98.94
hmnchera,Dealer-retail,DEALON02,Ontario,,0.727,92.22
hmnhomayouni,Dealer-retail,DEALON02,Ontario,,0.957,93.17
hmnlukic,Dealer-retail,DEALON02,Ontario,,0.962,90.67
hmnshah,Dealer-retail,DEALON02,Ontario,,0.75,100
hmnshah1,Dealer-retail,DEALON02,Ontario,,1,98.75
hmonge,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.842,89
hmpfalguni,Dealer-retail,DEALON02,Ontario,,0.944,86.31
hmpparth,Dealer-retail,DEALON02,Ontario,,0.87,89.94
hmppruthvi,Dealer-retail,DEALON02,Ontario,,0.933,86.68
hmprajasingham,Dealer-retail,DEALON02,Ontario,,0.909,81.49
hmprana,Dealer-retail,DEALON02,Ontario,,0.941,87.91
hmpsingh1,Dealer-retail,DEALON02,Ontario,,0.9,96.16
hmrlal,Dealer-retail,DEALON02,Ontario,,1,89.69
hmrverma,Dealer-retail,DEALON02,Ontario,,0.7,87.73
hmsdhaliwal,Dealer-retail,DEALON02,Ontario,,0.938,89.79
hmskhan,Dealer-retail,DEALON02,Ontario,,0.935,90.4
hmsmuralitharan,Dealer-retail,DEALON02,Ontario,,0.9,79.15
hmsrachana,Dealer-retail,DEALON02,Ontario,,1,100
hmssingh,Dealer-retail,DEALON02,Ontario,,0.941,96.8
hmssunny,Dealer-retail,DEALON02,Ontario,,0.75,95.19
hmuir,Care,Windsor,,,0.938,92.74
hmupillai,Dealer-retail,DEALON02,Ontario,,0.889,100
hmvarora,Dealer-retail,DEALON02,Ontario,,0.962,92.45
hmyiyer,Dealer-retail,DEALON02,Ontario,,0.9,81.91
hnunweiler,Care,Windsor,,,1,97.35
horiji,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.966,83.93
houellette,Care,Windsor,,,1,83.16
hso,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.87,95.05
htaylor,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.963,97.94
htaylor2,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.75,98
hwahedi,Corp-retail,CORPON02-ON East,Ontario,Oshawa,0.867,98.57
hyassine,Care,Windsor,,,1,91.09
iajayi,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,1,89.52
ibarrera,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.938,92.56
ibragreen,Dealer-retail,DEALON01,Ontario,,0.97,91.07
ibragurguis,Dealer-retail,DEALON01,Ontario,,0.929,86.68
ibramoffat,Dealer-retail,DEALON01,Ontario,,0.842,80
ibrawentzell,Dealer-retail,DEALON01,Ontario,,0.856,89.51
ibrbfarwell,Dealer-retail,DEALON01,Ontario,,0.882,96.07
ibrcbart,Dealer-retail,DEALON01,Ontario,,0.894,95
ibrccastano,Dealer-retail,DEALON01,Ontario,,0.91,85.03
ibrdgervais,Dealer-retail,DEALON01,Ontario,,0.886,91.69
ibrfgebremariam,Dealer-retail,DEALON01,Ontario,,0.789,93.05
ibrgdevilliers,Dealer-retail,DEALON01,Ontario,,0.826,87.47
ibrghanna,Dealer-retail,DEALON01,Ontario,,0.333,80
ibrgibrahim,Dealer-retail,DEALON01,Ontario,,0,
ibrgibrahim1,Dealer-retail,DEALON01,Ontario,,0.833,90
ibrhbein,Dealer-retail,DEALON01,Ontario,,0.964,78.45
ibrjallen,Dealer-retail,DEALON01,Ontario,,1,93.44
ibrjmuller,Dealer-retail,DEALON01,Ontario,,0.833,86.85
ibrjmuller1,Dealer-retail,DEALON01,Ontario,,0.857,90
ibrjthillairajan,Dealer-retail,DEALON01,Ontario,,0.95,89.12
ibrjturinski,Dealer-retail,DEALON01,Ontario,,0.904,95.28
ibrjvanhaaster,Dealer-retail,DEALON01,Ontario,,0.826,77.46
ibrkfang,Dealer-retail,DEALON01,Ontario,,0.944,83.92
ibrnbrideau,Dealer-retail,DEALON01,Ontario,,0.84,86.68
ibrrtabujara,Dealer-retail,DEALON01,Ontario,,0.848,71.17
ibrscharlton,Dealer-retail,DEALON01,Ontario,,0.895,89.08
ibrtjola,Dealer-retail,DEALON01,Ontario,,0.955,90
ihalunga,Corp-retail,CORPON03-ON Central,Ontario,Thornhill,0.944,91.63
iharb,Care,Windsor,,,1,98.9
ihumphreys,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.857,90.78
imiskovic,Care,Windsor,,,1,93.01
isiringo-ringo,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.909,91.79
istiers,Care,Windsor,,,0,
iwishart,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.846,90.56
jadams,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.962,90.49
jansari,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.923,98.17
jbeale,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.769,92.12
jbeaudin,Care,Windsor,,,0.75,78.05
jberehulka,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.833,95.19
jbeveridge,Corp-retail,CORPON03-ON Central,Ontario,Barrie,0.931,89.87
jbifolchi,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0.967,95.55
jbouffard,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.9,92.78
jbulmer,Care,Windsor,,,1,94.73
jcamara,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.857,95.9
jcass,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.986,93.55
jcastro,Corp-retail,CORPON05-ON Southwest,Ontario,Brantford,0.833,84.59
jchau,Corp-retail,CORPON05-ON Southwest,Ontario,London,0.928,91.44
jcorcoran,Corp-retail,CORPON03-ON Central,Ontario,Barrie,0.929,93.06
jdoig,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0,80
jdong,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.955,90.79
jenriquez,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.625,73.29
jessigman,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.667,91.67
jfestejo,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.889,98.33
jforrester,Corp-retail,CORPON05-ON Southwest,Ontario,Brantford,0.957,94.63
jfrench,Care,Windsor,,,1,96.36
jgannon,Care,Windsor,,,1,97.78
jgardner,Care,Windsor,,,1,95.74
jgool,Corp-retail,CORPON03-ON Central,Ontario,Thornhill,0.962,88.89
jgrottick,Care,Windsor,,,1,93.51
jgroulx,Care,Windsor,,,0.96,89.9
jhebert,Care,Windsor,,,0.929,95.74
jhenriquez,Care,Windsor,,,0.905,88.8
jheynsbergen,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.959,91.02
jhoang,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.667,96.54
jhoang2,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.888,94.43
jhopson,Care,Windsor,,,0.8,82.7
jhussain,Corp-retail,CORPON03-ON Central,Ontario,Richmond Hill,0.944,87.65
jjassar,Corp-retail,CORPON03-ON Central,Ontario,North York,0.977,94.45
jjeyananthan,Corp-retail,CORPON03-ON Central,Ontario,Markham,0.824,96.49
jjohnson,Care,Windsor,,,0.846,92.11
jkhan2,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.8,96.83
jkompaniyets,Corp-retail,CORPON03-ON Central,Ontario,Thornhill,0.5,97.5
jlam,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.786,99.29
jlam2,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.909,95
jlau,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,1,91.38
jlau2,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.818,89.33
jle,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.933,92.65
jlee2,Care,Windsor,,,1,91.31
jlevesque,Care,Windsor,,,0.923,92.73
jlewis,Care,Windsor,,,0.913,90.55
jli,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0,60
